TITLE,DATE
"
			엔플라잉, 6년만의 정규 1집 '맨 온 더 문' 플랜 포스터 공개
		",2021.05.23. 오전 9:45
"
			엔플라잉, 첫 정규앨범 ‘Man on the Moon’ 6월 7일 발매
		",2021.05.22. 오후 4:23
"
			김희선·로운, '내일'로 만나나…""긍정 검토"" [공식]
		",2021.04.06. 오후 3:11
"
			'전역' 이홍기, 복귀작은 뮤지컬 '1976할란카운티'
		",2021.04.19. 오후 2:52
"
			'6년 만 솔로' 엔플라잉 덜고 이승협 색깔로 꽉 채운 '클리커' [종합]
		",2021.02.22. 오후 4:15
"
			‘솔로 데뷔 D-2’ 이승협,솔직+재치 1인 2역 인터뷰 공개
		",2021.02.20. 오후 2:52
"
			체리블렛, 한복 입고 다정한 인사 ""행복한 한 해 보내시길""
		",2021.02.12. 오전 8:38
"
			'컴백 D-1' 체리블렛, 신곡 'Love So Sweet' MV 티저 공개
		",2021.01.19. 오전 10:41
"
			체리블렛, 미니 1집 하이라이트 메들리+트랙리스트 공개
		",2021.01.18. 오전 11:23
"
			체리블렛, 신곡 'Love So Sweet' MV 티저 공개
		",2021.01.15. 오전 11:22
"
			체리블렛, 미니 1집 'Cherry Rush' 두 번째 개인 재킷포스터 공개
		",2021.01.13. 오전 11:27
"
			체리블렛, 한복 입고 새해 인사…'러블리 에너제틱' 매력
		",2021.02.12. 오전 11:20
"
			'20일 컴백' 체리블렛, 미니 1집 '체리 러시' 개인 재킷포스터 공개
		",2021.01.12. 오전 11:09
"
			체리블렛, 미니 1집 'Cherry Rush' 재킷포스터 최초공개
		",2021.01.11. 오전 9:27
"
			체리블렛, 타이틀곡 'Love So Sweet'으로 20일 컴백
		",2021.01.09. 오전 8:56
FNC-KOTRA 랜선 콘서트 유튜브 최초공개…누구나 무료관람,2020-06-13 14:26
"FNC, 모바일 맞춤 숏폼 예능콘텐츠 제작사 '콘텐츠랩 나나랜드' 설립",2020-04-21 16:08
"
			FNC 측 ""신천지 연예인 루머 사실 무관, 합의·선처 없이 강경 대응""
		",2020.03.04. 오전 11:44
"
			문지인, FNC엔터테인먼트와 전속계약…정해인·설현·정진영과 한솥밥
		",2020.05.15. 오전 10:21
"FNC ""정용화 관련 허위사실 유포 및 악플러에 법적 대응, 고소장 접수 완료""",2020-01-06 14:52
"
			신예 박지원, FNC와 전속계약…'날찾아'→'그 남자의 기억법' 출연
		",2020.02.20. 오후 1:21
"유재석이 신천지? FNC ""악성 루머, 강력 대응"" [공식]",2020-03-04 13:19
"
			필리핀 화산 폭발에 발 묶인 체리블렛… FNC ""호텔서 상황 지켜보는 중""
		",2020.01.13. 오후 2:26
"
			'컴백' SF9 태양X휘영X찬희,'9loryUS' 개인 재킷 포스터 공개
		",2020.06.28. 오전 9:46
"
			'6일 컴백’ SF9 다원∙로운∙주호, 재킷 포스터 공개
		",2020.06.27. 오후 2:24
"
			'컴백 D-2' 엔플라잉, 신곡 '아 진짜요.' MV 깜짝 선공개
		",2020.06.08. 오전 9:10
"
			'컴백 D-4' 엔플라잉, 신곡 '아 진짜요.' 두 번째 MV 티저 공개
		",2020.06.06. 오전 8:11
"
			[인터뷰] 엔플라잉 ""'옥탑방' 부담 NO…'아 진짜요' 색다른 공감 드릴 것""
		",2020.06.09. 오전 9:12
"
			엔플라잉, 신곡 '아 진짜요' MV 티저 공개…컴백 기대감 ↑
		",2020.06.04. 오전 10:25
"
			조윤희·이동건 이혼…""좋은 활동으로 인사드릴 것"" [공식]
		",2020.05.28. 오전 10:36
"
			前 씨엔블루 이종현, 오늘(25일) 전역…정준영 단톡방·추파 DM '다사다난'
		",2020.03.25. 오전 9:28
"
			SF9 ""한성호 대표 작사 참여? 많이 신경 써줘 감사할 따름""
		",2020.01.15. 오후 9:22
"
			FT아일랜드 이재진, 오늘(21일) 군입대…3사단 신병교육대 입소
		",2020.01.21. 오후 5:01
"
			'데뷔 첫 1위' SF9 ""오늘 잊지 않으며 더 열심히 할 것"" 9인 9색 소감
		",2020.01.17. 오전 8:16
"
			정용화 악플러 상대 법적대응 ""무혐의 사안 인신공격 참지 않아""
		",2020.01.06. 오후 11:18
"
			엔플라잉, 신곡 ‘아 진짜요.’ 멜로디 스포일러로 궁금증 ‘UP’
		",2020.05.30. 오전 11:39
"
			엔플라잉, 6월 10일 컴백 확정…타이틀곡은 '아 진짜요.'
		",2020.05.29. 오전 9:11
"
			이동건 측 ""신중한 고민 끝 조윤희와 이혼 결정…조정절차 마무리""
		",2020.05.28. 오후 12:23
"
			조윤희·이동건 이혼, '미우새'·'해투4' 출연하던 '잉꼬부부' 3년 만에 각자의 길로
		",2020.05.28. 오후 2:18
"
			""4년만에 뭉친 웨딩보이즈""…정용화X이준X윤두준X광희, 녹음 인증샷 공개
		",2020.05.12. 오전 9:02
"
			정용화, 19일 웨딩송 ‘너, 나, 우리 (Would you marry me?)’ 발매
		",2020.05.11. 오후 4:53
"
			로운 '선배, 그 립스틱 바르지 마요' 출연 검토 중 '웹소설 원작'
		",2020.04.29. 오후 11:33
"
			'반의반' 정해인 ""위로받는 드라마 됐길"" 종영 소감
		",2020.04.28. 오전 10:31
"
			FT아일랜드 출신 송승현, 오늘(27일) 현역 입대…""가보자"" 삭발 사진 공개
		",2020.04.27. 오후 1:41
"
			노홍철도 유튜버 합류…'언박싱' 전문
		",2020.04.20. 오후 4:35
"
			설현, 시크함→청량美까지 '멋쁨의 정석'…새 프로필 사진 공개
		",2020.04.20. 오전 11:18
"
			최민환, 손편지 공개 ""군대 체질인 듯, 맏형으로 재밌게 생활 중"" [전문]
		",2020.03.19. 오후 4:51
"NEW, 세계 OTT 아성에 도전…북미·유럽서 'K콘텐츠' 24시간 방영 시작",2020-02-24 15:58
"
			종영 D-DAY '정해인의 걸어보고서', 교양X예능의 성공적 변주
		",2020.01.28. 오전 10:13
"
			'컴백 D-3' 체리블렛, '무릎을 탁 치고' MV 티저 공개
		",2020.02.08. 오후 2:32
"
			체리블렛, 11일 컴백 앞두고 확 달라진 개인컷 공개
		",2020.02.05. 오후 6:21
"
			'복면가왕' 호떡 정체는 AOA 찬미 ""의미있는 무대 감사""
		",2020.01.20. 오전 7:59
"
			'연기돌' 찬희 끌고 로운 밀고…SF9 '대세돌' 굳히기 나섰다
		",2020.01.10. 오후 1:47
"
			SF9, 신곡 ‘Good Guy’ 뮤비 사흘만에 1000만뷰 돌파
		",2020.01.09. 오후 2:41
"
			슈트 입은 '굿 가이' SF9, 첫 정규로 '음악방송 1위' 영광 맞을까 [종합]
		",2020.01.07. 오후 5:51
"
			'1월 7일 컴백' SF9, 두 번째 티저 속 '황금 팔찌'…세계관 관심↑
		",2020.01.04. 오전 9:24
"
			""절제된 고급美""…SF9, '굿 가이' MV 티저 공개
		",2020.01.03. 오전 8:50
"
			'컴백' SF9, 개인 콘셉트 포토 'BLACK RATED' 버전 공개
		",2020.01.02. 오전 8:49
"
			SF9 '9lory' 트레일러, 음악적 성취 '집약'→새로운 영광 '기대'
		",2020.01.01. 오전 8:30
"
			[단독] FT아일랜드 송승현, FNC 떠난다…이달 말 계약 종료
		",2019.12.24. 오후 4:22
"
			체리블렛 미래·코코로·린린 전속계약 해지…FNC ""이유는 비공개, 팀 7인조 재편"" [공식입장]
		",2019.12.13. 오후 2:06
"FNC, 에스엠라이프디자인그룹 지분 전량 매각…""SM과 전략적 파트너십은 유지""",2019-11-21 17:05
"
			조우종, FNC와 재계약…""활발한 활동 지원할 것""
		",2019.11.04. 오후 1:31
"
			송은이, 7년 동고동락한 FNC와 이별→독자 행보 ""도전을 위해 떠난다""
		",2019.09.30. 오후 4:16
"
			'컴백' SF9, 첫 정규 앨범 '퍼스트 컬렉션' 개인 콘셉트 포토 공개
		",2019.12.31. 오전 8:26
"
			FNC 측 ""AOA, 컴백 쇼케이스 취소… 연예계 안타까운 비보에 깊은 애도""
		",2019.11.25. 오후 12:20
"
			'1월 7일 컴백' SF9, GOLD VS BLACK…단체 재킷 포스터 공개
		",2019.12.30. 오후 1:22
"유재석·김태호 공개 저격…가세연, 이번엔 주가조작·비자금 의혹 제기",2019-12-20 10:26
"
			SF9, 첫 정규 ‘FIRST COLLECTION’ 프로모션 일정 공개
		",2019.12.28. 오전 8:53
"유재석 향해 방향 튼 '가세연'…""기자회견? 김태호 PD가 급했을 것"" 주장",2019-12-20 9:23
"
			설현, 기부로 따뜻한 나눔 실천 ""아동·청소년 환우 치료비로 5천만원 지원""
		",2019.12.19. 오후 4:59
"연계소문｜뜬금 없이 유재석 소환한 '가세연', 책임 없는 폭로 멈춰야 할 때",2019-12-21 8:43
"
			종영 '레버리지' 이동건 ""시즌2를 위한 호흡, 다시 볼 수 있길""
		",2019.12.09. 오후 1:02
"
			AOA, 신곡 '날 보러 와요' MV 조회수 500만 돌파→안무영상 공개
		",2019.12.07. 오전 9:16
"
			'정해인 걸어보고서' FNCxKBS 합작 제작으로 나온다
		",2019.10.15. 오전 11:37
"
			'정준영 단톡방'에도 굳건하던 이종현, 유튜버에 ""뱃살 귀엽다"" 추파 던지고 씨엔블루 탈퇴 [종합]
		",2019.08.29. 오전 9:51
"BJ 박민정 ""이종현 '뱃살' 메시지 불쾌감 느껴""→이종현 씨엔블루 '탈퇴' [전문]",2019-08-29 9:05
"웃음 되찾은 엔터주…SM·JYP·YG, 연예인 주식부호 손실분 '만회'",2019-11-24 10:05
"
			AOA·마마무 일정취소 … 故 구하라 비보에 연예계 애도 표명
		",2019.11.25. 오후 6:06
"
			'컴백 D-1' AOA, 새 앨범 '뉴 문' 프리퀄 스토리 카드 2편 공개
		",2019.11.25. 오전 8:29
"
			'26일 컴백' AOA, 미니 6집 '뉴 문' 하이라이트 메들리＆트랙리스트 공개
		",2019.11.23. 오전 10:36
"
			""180도 달라진 혜정장군""…AOA 혜정, '날 보러 와요' 개인 티저 공개
		",2019.11.22. 오전 8:24
"
			AOA 유나, CCTV 가득한 방 탈출…신곡 '날 보러 와요' 개인 티저 공개
		",2019.11.21. 오전 8:30
"
			AOA 찬미, 신곡 '날 보러 와요' 개인 티저 공개…'우아+파워풀' 문 헌터
		",2019.11.20. 오전 8:59
"
			AOA 지민, 신곡 '날 보러 와요' 티저＆재킷 공개…'걸 크러쉬 문 헌터 변신'
		",2019.11.19. 오전 8:25
"
			""독보적 여신美""…AOA 설현, 신곡 '날 보러 와요' 티저 공개
		",2019.11.18. 오전 9:10
"
			""우리의 새로운 달을 찾기로""…AOA, 새 앨범 'NEW MOON' 콘셉트 맛보기
		",2019.11.17. 오전 8:16
"
			AOA, 11월 26일 신곡 ‘날 보러 와요’ 공개
		",2019.11.16. 오전 9:54
"
			'26일 컴백' AOA, 미니 6집 'NEW MOON' 플랜 포스터 공개
		",2019.11.15. 오전 8:50
"
			""'퀸덤' 호평 잇는다""…AOA, 26일 신곡 '날 보러 와요' 컴백
		",2019.11.14. 오전 8:55
"
			정용화 전역, 팬미팅에 밀려드는 러브콜 ""바쁘다""
		",2019.11.08. 오전 10:37
"
			배철수도 극찬…'불후의 명곡' 우승자 유회승, 누구?
		",2019.10.22. 오전 9:46
"
			이홍기, 입대 후 친필 편지…""난 엄청 잘지내고 있어"" [전문]
		",2019.10.21. 오후 3:30
"
			설리 사망 비보, 슬픔에 잠긴 연예계…줄줄이 일정 취소·연기·활동 중단 [종합]
		",2019.10.14. 오후 9:31
"
			엔플라잉, ‘굿밤 (GOOD BAM)’ 실루엣 라이브 티저 공개
		",2019.10.12. 오후 7:29
"
			제2의 김민주, 크리샤츄 찾는다…오디션 플랫폼 유디션, 얼반웍스이엔티 신인오디션 개최
		",2019.09.26. 오후 6:43
"
			엔플라잉, 오는 15일 신곡 ‘굿밤’ 발표…오늘(4일) 여의도 기습 버스킹
		",2019.10.04. 오후 6:19
"
			정형돈, 영정사진 개그 사과 ""케이윌 교통사고 몰랐다…죄송한 마음"" [전문]
		",2019.09.23. 오후 9:32
"정해인, 청담동 '노후 빌라' 시세보다 비싼 44억에 매입… 이유는?",2019-09-25 14:02
"
			""'케이윌 영정사진 논란' 반성할 것""…정형돈의 공식입장
		",2019.09.24. 오후 5:33
"
			FT아일랜드, 신곡 '관둬' 라이브 풀버전 컴백전 깜짝 선공개
		",2019.09.08. 오전 8:36
"
			'정준영 단톡방' 절친들 근황, 승리는 경찰 조사·이종현은 유튜버 박민정에게 메시지를?
		",2019.08.28. 오후 3:24
"
			FT아일랜드 신곡 ‘관둬’ 파리 로케 멜로감성 MV 완성
		",2019.09.07. 오전 11:51
"
			연계소문｜""바쁘다 바빠""…'프듀x' 조작 논란 속 '굿 타이밍' 잡은 이진혁·송유빈·토니
		",2019.08.10. 오전 8:39
"
			'정준영 단톡방' 이종현 ""부적절한 언행으로 사과… 씨엔블루 탈퇴 결정""[전문]
		",2019.08.28. 오후 9:31
뱃살 귀엽다 이종현에 DM 받은 BJ 박민정 누구?,2019-08-28 14:17
"이종현, 아직 정신 못차렸나…비키니 방송 BJ에게 ""뱃살 귀여워""",2019-08-28 11:48
"
			최민환♥율희, 둘째 임신 ""짱이 동생 생겨…벅차고 떨린다"" [전문]
		",2019.08.16. 오후 2:43
"
			정해인 외제차선물, 동고동락한 매니저에 쾌척 '남다른 스케일'
		",2019.08.09. 오후 7:41
"
			이종현 유튜버 박민정에 ""뱃살 귀여워""… '정준영 단톡방' 이후 또 한번 구설수
		",2019.08.28. 오후 2:27
"정준영 카톡방 ""빨리 여자 넘겨달라""던 이종현 유튜버 박민정에 ""뱃살 귀엽다""",2019-08-28 11:15
"
			'봄밤' 정해인 ""봄이 오면 생각날 소중한 작품""…종영 소감
		",2019.07.11. 오전 8:52
"
			오늘 종영 ‘단, 하나의 사랑’, 이동건 “발레에 애정 갖게 됐다” 소회
		",2019.07.11. 오후 3:48
연예 마켓+ㅣ최종훈 이어 씨엔블루 이종현까지…FNC 엔터테인먼트 어쩌나,2019-03-15 14:50
"FNC ""최종훈과 계약 해지, 입장 번복으로 신뢰관계 유지 불가"" [공식입장]",2019-03-21 18:48
"FNC 측 ""최종훈 음주단속 적발 사실… 청탁은 하지 않았다"" 공식입장",2019-03-13 19:05
"
			'미쓰라♥' 권다현, FNC엔터테인먼트와 전속계약 체결…유재석과 한솥밥
		",2019.04.17. 오후 12:22
"FNC 엔터테인먼트 또 입장 번복 ""관련 없다→깊은 사죄""…이종현도 '몰카' 공유",2019-03-15 13:25
"
			초아, FNC와 이미 계약 종료 ""시기는 공개 불가"" [공식입장]
		",2019.05.13. 오후 5:34
