Date,Rank,Title,Artist,Score,entertain
2018-11-05,48,봄날,방탄소년단,6,하이브
2018-11-05,65,Euphoria,방탄소년단,4,하이브
2018-11-05,72,DNA,방탄소년단,3,하이브
2018-11-05,75,전하지 못한 진심 (Feat. Steve Aoki),방탄소년단,3,하이브
2018-11-05,82,Answer : Love Myself,방탄소년단,2,하이브
2018-11-05,90,Epiphany,방탄소년단,2,하이브
2018-11-05,94,Anpanman,방탄소년단,1,하이브
2018-11-05,96,Trivia 轉 : Seesaw,방탄소년단,1,하이브
2018-11-06,24,IDOL,방탄소년단,8,하이브
2018-11-06,41,FAKE LOVE,방탄소년단,6,하이브
2018-11-06,45,I'm Fine,방탄소년단,6,하이브
2018-11-06,53,봄날,방탄소년단,5,하이브
2018-11-06,69,DNA,방탄소년단,4,하이브
2018-11-06,71,Euphoria,방탄소년단,3,하이브
2018-11-06,76,전하지 못한 진심 (Feat. Steve Aoki),방탄소년단,3,하이브
2018-11-06,83,Answer : Love Myself,방탄소년단,2,하이브
2018-11-06,90,Epiphany,방탄소년단,2,하이브
2018-11-06,96,Anpanman,방탄소년단,1,하이브
2018-11-06,98,Trivia 轉 : Seesaw,방탄소년단,1,하이브
2018-11-07,24,IDOL,방탄소년단,8,하이브
2018-11-07,39,FAKE LOVE,방탄소년단,7,하이브
2018-11-07,43,I'm Fine,방탄소년단,6,하이브
2018-11-07,52,봄날,방탄소년단,5,하이브
2018-11-07,66,Euphoria,방탄소년단,4,하이브
2018-11-07,69,DNA,방탄소년단,4,하이브
2018-11-07,75,전하지 못한 진심 (Feat. Steve Aoki),방탄소년단,3,하이브
2018-11-07,82,Answer : Love Myself,방탄소년단,2,하이브
2018-11-07,88,Epiphany,방탄소년단,2,하이브
2018-11-07,93,Anpanman,방탄소년단,1,하이브
2018-11-07,96,Trivia 轉 : Seesaw,방탄소년단,1,하이브
2018-11-08,26,IDOL,방탄소년단,8,하이브
2018-11-08,39,FAKE LOVE,방탄소년단,7,하이브
2018-11-08,45,I'm Fine,방탄소년단,6,하이브
2018-11-08,52,봄날,방탄소년단,5,하이브
2018-11-08,69,Euphoria,방탄소년단,4,하이브
2018-11-08,70,DNA,방탄소년단,4,하이브
2018-11-08,74,전하지 못한 진심 (Feat. Steve Aoki),방탄소년단,3,하이브
2018-11-08,82,Answer : Love Myself,방탄소년단,2,하이브
2018-11-08,89,Epiphany,방탄소년단,2,하이브
2018-11-08,94,Anpanman,방탄소년단,1,하이브
2018-11-08,96,Trivia 轉 : Seesaw,방탄소년단,1,하이브
2018-11-09,24,IDOL,방탄소년단,8,하이브
2018-11-09,38,FAKE LOVE,방탄소년단,7,하이브
2018-11-09,45,I'm Fine,방탄소년단,6,하이브
2018-11-09,53,봄날,방탄소년단,5,하이브
2018-11-09,64,DNA,방탄소년단,4,하이브
2018-11-09,69,Euphoria,방탄소년단,4,하이브
2018-11-09,73,전하지 못한 진심 (Feat. Steve Aoki),방탄소년단,3,하이브
2018-11-09,80,Answer : Love Myself,방탄소년단,3,하이브
2018-11-09,91,Epiphany,방탄소년단,1,하이브
2018-11-09,95,Anpanman,방탄소년단,1,하이브
2018-11-09,96,Trivia 轉 : Seesaw,방탄소년단,1,하이브
2018-11-10,24,IDOL,방탄소년단,8,하이브
2018-11-10,39,FAKE LOVE,방탄소년단,7,하이브
2018-11-10,46,I'm Fine,방탄소년단,6,하이브
2018-11-10,54,봄날,방탄소년단,5,하이브
2018-11-10,66,DNA,방탄소년단,4,하이브
2018-11-10,70,Euphoria,방탄소년단,4,하이브
2018-11-10,75,전하지 못한 진심 (Feat. Steve Aoki),방탄소년단,3,하이브
2018-11-10,82,Answer : Love Myself,방탄소년단,2,하이브
2018-11-10,94,Epiphany,방탄소년단,1,하이브
2018-11-10,98,Anpanman,방탄소년단,1,하이브
2018-11-10,100,Trivia 轉 : Seesaw,방탄소년단,1,하이브
