Date,Rank,Title,Artist,Score
2023-01-01,1,Ditto,NewJeans,10
2023-01-01,2,사건의 지평선,윤하 (YOUNHA),10
2023-01-01,3,Hype boy,NewJeans,10
2023-01-01,4,NOT SORRY (Feat. pH-1) (Prod. by Slom),이영지,10
2023-01-01,5,ANTIFRAGILE,LE SSERAFIM (르세라핌),10
2023-01-01,6,Candy,NCT DREAM,10
2023-01-01,7,After LIKE,IVE (아이브),10
2023-01-01,8,Attention,NewJeans,10
2023-01-01,9,Nxde,(여자)아이들,10
2023-01-01,10,마이웨이 (MY WAY) (Prod. R.Tee),"R.Tee, 맥대디 (Mckdaddy), 저스디스 (JUSTHIS), 던말릭 (DON MALIK), 로스 (Los), 허성현 (Huh), KHAN",10
2023-01-01,11,새삥 (Prod. ZICO) (Feat. 호미들),지코 (ZICO),9
2023-01-01,12,LOVE DIVE,IVE (아이브),9
2023-01-01,13,Monologue,테이,9
2023-01-01,14,잘가요,주호,9
2023-01-01,15,사랑은 늘 도망가,임영웅,9
2023-01-01,16,너의 모든 순간,성시경,9
2023-01-01,17,Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack] (Feat. FIFA Sound),"방탄소년단, 정국",9
2023-01-01,18,Shut Down,BLACKPINK,9
2023-01-01,19,해요 (2022),#안녕,9
2023-01-01,20,그대를 알고,송하예,9
2023-01-01,21,Cookie,NewJeans,8
2023-01-01,22,사랑인가 봐,멜로망스,8
2023-01-01,23,Rush Hour (Feat. j-hope of BTS),Crush,8
2023-01-01,24,Pink Venom,BLACKPINK,8
2023-01-01,25,"미운오리새끼 (Feat. 선우정아, BOBBY) (Prod. R.Tee)",허성현 (Huh),8
2023-01-01,26,TOMBOY,(여자)아이들,8
2023-01-01,27,자격지심 (Feat. ZICO),BE'O (비오),8
2023-01-01,28,내가 아니라도,주호,8
2023-01-01,29,그때 그 순간 그대로 (그그그),WSG워너비 (가야G),8
2023-01-01,30,딱 10CM만,"10CM, BIG Naughty (서동현)",8
2023-01-01,31,"눈 (EYE) (Feat. BIG Naughty, 저스디스 (JUSTHIS)) (Prod. R.Tee)",던말릭 (DON MALIK),7
2023-01-01,32,그라데이션,10CM,7
2023-01-01,33,WHEN I MOVE,카라,7
2023-01-01,34,FEARLESS,LE SSERAFIM (르세라핌),7
2023-01-01,35,정이라고 하자 (Feat. 10CM),BIG Naughty (서동현),7
2023-01-01,36,Snowman,Sia,7
2023-01-01,37,우리들의 블루스,임영웅,7
2023-01-01,38,취중고백,김민석 (멜로망스),7
2023-01-01,39,그 겨울이 잠든 거리에서,"전건호, 경서예지",7
2023-01-01,40,나의 X에게,경서,7
2023-01-01,41,ELEVEN,IVE (아이브),6
2023-01-01,42,Say I Love You,우디 (Woody),6
2023-01-01,43,다정히 내 이름을 부르면,"전건호, 경서예지",6
2023-01-01,44,첫사랑,백아,6
2023-01-01,45,보고싶었어,WSG워너비(4FIRE),6
2023-01-01,46,오르트구름,윤하 (YOUNHA),6
2023-01-01,47,다시 만날 수 있을까,임영웅,6
2023-01-01,48,떠나보낼 준비해 둘걸 그랬어,임한별,6
2023-01-01,49,우린 그렇게 사랑해서,"강민경 (다비치), 잔나비 최정훈",6
2023-01-01,50,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,6
2023-01-01,51,That's Hilarious,Charlie Puth,5
2023-01-01,52,LOVE me,BE'O (비오),5
2023-01-01,53,위하여 (We Higher) (Prod. GroovyRoom),"릴보이 (lIlBOI), 그루비룸 (GroovyRoom), 블라세 (BLAS?), Chillin Homie, 노윤하, Polodared, Fleeky Bang",5
2023-01-01,54,"빡 (Feat. 팔로알토 (Paloalto), 저스디스 (JUSTHIS)) (Prod. R.Tee)",던말릭 (DON MALIK),5
2023-01-01,55,I Don't Think That I Like Her,Charlie Puth,5
2023-01-01,56,밤하늘의 별을(2020),경서,5
2023-01-01,57,내 기쁨은 너가 벤틀리를 끄는 거야,김승민,5
2023-01-01,58,눈이 오잖아(Feat.헤이즈),이무진,5
2023-01-01,59,새벽에 걸려온 너의 전화는,한동근,5
2023-01-01,60,"나침반 (Feat. UNEDUCATED KID, 수퍼비 (SUPERBEE)) (Prod. R.Tee)",KHAN,5
2023-01-01,61,아픈 나를 (Prod. By 나얼),성시경,4
2023-01-01,62,이제 나만 믿어요,임영웅,4
2023-01-01,63,That That (prod. & feat. SUGA of BTS),싸이 (PSY),4
2023-01-01,64,봄여름가을겨울 (Still Life),BIGBANG (빅뱅),4
2023-01-01,65,Dynamite,방탄소년단,4
2023-01-01,66,주저하는 연인들을 위해,잔나비,4
2023-01-01,67,STAY,"Justin Bieber, The Kid LAROI",4
2023-01-01,68,그댄 행복에 살텐데 (2022),최유리,4
2023-01-01,69,Love story,볼빨간사춘기,4
2023-01-01,70,무지개,임영웅,4
2023-01-01,71,이 소설의 끝을 다시 써보려 해,테이,3
2023-01-01,72,"WITCH (Feat. 박재범, So!YoON!) (Prod. by Slom)",이영지,3
2023-01-01,73,London Boy,임영웅,3
2023-01-01,74,흩어지지 않게,엠씨더맥스 (M.C the MAX),3
2023-01-01,75,All I Want for Christmas Is You,Mariah Carey,3
2023-01-01,76,FOREVER 1,소녀시대 (GIRLS' GENERATION),3
2023-01-01,77,Polaroid,임영웅,3
2023-01-01,78,첫 눈,EXO,3
2023-01-01,79,아버지,임영웅,3
2023-01-01,80,Butter,방탄소년단,3
2023-01-01,81,봄날,방탄소년단,2
2023-01-01,82,이루리,우주소녀,2
2023-01-01,83,Fuckin′ New Year,백예린 (Yerin Baek),2
2023-01-01,84,Graduation,NCT DREAM,2
2023-01-01,85,Santa Tell Me,Ariana Grande,2
2023-01-01,86,미리 메리 크리스마스 (Feat. 천둥 Of MBLAQ),아이유,2
2023-01-01,87,A bientot,임영웅,2
2023-01-01,88,도깨비불 (Illusion),aespa,2
2023-01-01,89,내 손을 잡아,아이유,2
2023-01-01,90,신호등,이무진,2
2023-01-01,91,Permission to Dance,방탄소년단,1
2023-01-01,92,인생찬가,임영웅,1
2023-01-01,93,손이 참 곱던 그대,임영웅,1
2023-01-01,94,WE (Feat. 박재범) (Prod. by Slom),"제이켠 (J'Kyun), 이영지, 잠비노 (Jambino), 토이고 (toigo), XINSAYNE",1
2023-01-01,95,SNEAKERS,ITZY (있지),1
2023-01-01,96,크리스마스니까,"박효신, 성시경, 이석훈, 서인국, VIXX (빅스)",1
2023-01-01,97,Off My Face,Justin Bieber,1
2023-01-01,98,스티커 사진,21학번,1
2023-01-01,99,사랑해 진짜,임영웅,1
2023-01-01,100,사랑한다고 말해줘,탑현,1
2023-01-02,1,Ditto,NewJeans,10
2023-01-02,2,OMG,NewJeans,10
2023-01-02,3,사건의 지평선,윤하 (YOUNHA),10
2023-01-02,4,Hype boy,NewJeans,10
2023-01-02,5,NOT SORRY (Feat. pH-1) (Prod. by Slom),이영지,10
2023-01-02,6,ANTIFRAGILE,LE SSERAFIM (르세라핌),10
2023-01-02,7,Candy,NCT DREAM,10
2023-01-02,8,After LIKE,IVE (아이브),10
2023-01-02,9,Attention,NewJeans,10
2023-01-02,10,Nxde,(여자)아이들,10
2023-01-02,11,마이웨이 (MY WAY) (Prod. R.Tee),"R.Tee, 맥대디 (Mckdaddy), 저스디스 (JUSTHIS), 던말릭 (DON MALIK), 로스 (Los), 허성현 (Huh), KHAN",9
2023-01-02,12,새삥 (Prod. ZICO) (Feat. 호미들),지코 (ZICO),9
2023-01-02,13,LOVE DIVE,IVE (아이브),9
2023-01-02,14,Monologue,테이,9
2023-01-02,15,너의 모든 순간,성시경,9
2023-01-02,16,잘가요,주호,9
2023-01-02,17,Shut Down,BLACKPINK,9
2023-01-02,18,사랑은 늘 도망가,임영웅,9
2023-01-02,19,그대를 알고,송하예,9
2023-01-02,20,Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack] (Feat. FIFA Sound),"방탄소년단, 정국",9
2023-01-02,21,해요 (2022),#안녕,8
2023-01-02,22,Cookie,NewJeans,8
2023-01-02,23,사랑인가 봐,멜로망스,8
2023-01-02,24,Rush Hour (Feat. j-hope of BTS),Crush,8
2023-01-02,25,Pink Venom,BLACKPINK,8
2023-01-02,26,TOMBOY,(여자)아이들,8
2023-01-02,27,내가 아니라도,주호,8
2023-01-02,28,그때 그 순간 그대로 (그그그),WSG워너비 (가야G),8
2023-01-02,29,자격지심 (Feat. ZICO),BE'O (비오),8
2023-01-02,30,"미운오리새끼 (Feat. 선우정아, BOBBY) (Prod. R.Tee)",허성현 (Huh),8
2023-01-02,31,딱 10CM만,"10CM, BIG Naughty (서동현)",7
2023-01-02,32,WHEN I MOVE,카라,7
2023-01-02,33,그라데이션,10CM,7
2023-01-02,34,FEARLESS,LE SSERAFIM (르세라핌),7
2023-01-02,35,"눈 (EYE) (Feat. BIG Naughty, 저스디스 (JUSTHIS)) (Prod. R.Tee)",던말릭 (DON MALIK),7
2023-01-02,36,정이라고 하자 (Feat. 10CM),BIG Naughty (서동현),7
2023-01-02,37,취중고백,김민석 (멜로망스),7
2023-01-02,38,Snowman,Sia,7
2023-01-02,39,그 겨울이 잠든 거리에서,"전건호, 경서예지",7
2023-01-02,40,나의 X에게,경서,7
2023-01-02,41,ELEVEN,IVE (아이브),6
2023-01-02,42,우리들의 블루스,임영웅,6
2023-01-02,43,Say I Love You,우디 (Woody),6
2023-01-02,44,다정히 내 이름을 부르면,"전건호, 경서예지",6
2023-01-02,45,보고싶었어,WSG워너비(4FIRE),6
2023-01-02,46,첫사랑,백아,6
2023-01-02,47,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,6
2023-01-02,48,떠나보낼 준비해 둘걸 그랬어,임한별,6
2023-01-02,49,우린 그렇게 사랑해서,"강민경 (다비치), 잔나비 최정훈",6
2023-01-02,50,That's Hilarious,Charlie Puth,6
2023-01-02,51,오르트구름,윤하 (YOUNHA),5
2023-01-02,52,LOVE me,BE'O (비오),5
2023-01-02,53,위하여 (We Higher) (Prod. GroovyRoom),"릴보이 (lIlBOI), 그루비룸 (GroovyRoom), 블라세 (BLAS?), Chillin Homie, 노윤하, Polodared, Fleeky Bang",5
2023-01-02,54,다시 만날 수 있을까,임영웅,5
2023-01-02,55,밤하늘의 별을(2020),경서,5
2023-01-02,56,I Don't Think That I Like Her,Charlie Puth,5
2023-01-02,57,내 기쁨은 너가 벤틀리를 끄는 거야,김승민,5
2023-01-02,58,새벽에 걸려온 너의 전화는,한동근,5
2023-01-02,59,"빡 (Feat. 팔로알토 (Paloalto), 저스디스 (JUSTHIS)) (Prod. R.Tee)",던말릭 (DON MALIK),5
2023-01-02,60,눈이 오잖아(Feat.헤이즈),이무진,5
2023-01-02,61,STAY,"Justin Bieber, The Kid LAROI",4
2023-01-02,62,"나침반 (Feat. UNEDUCATED KID, 수퍼비 (SUPERBEE)) (Prod. R.Tee)",KHAN,4
2023-01-02,63,Dynamite,방탄소년단,4
2023-01-02,64,봄여름가을겨울 (Still Life),BIGBANG (빅뱅),4
2023-01-02,65,아픈 나를 (Prod. By 나얼),성시경,4
2023-01-02,66,That That (prod. & feat. SUGA of BTS),싸이 (PSY),4
2023-01-02,67,주저하는 연인들을 위해,잔나비,4
2023-01-02,68,그댄 행복에 살텐데 (2022),최유리,4
2023-01-02,69,Love story,볼빨간사춘기,4
2023-01-02,70,이제 나만 믿어요,임영웅,4
2023-01-02,71,이 소설의 끝을 다시 써보려 해,테이,3
2023-01-02,72,흩어지지 않게,엠씨더맥스 (M.C the MAX),3
2023-01-02,73,"WITCH (Feat. 박재범, So!YoON!) (Prod. by Slom)",이영지,3
2023-01-02,74,무지개,임영웅,3
2023-01-02,75,FOREVER 1,소녀시대 (GIRLS' GENERATION),3
2023-01-02,76,London Boy,임영웅,3
