Date,Rank,Title,Artist
2020-01-01,91,그때가 좋았어,케이시 (Kassy)
2020-01-01,92,0310,백예린 (Yerin Baek)
2020-01-01,93,나를 기다렸나요,한동근
2020-01-01,94,나비효과 (Butterfly Effect),EXO
2020-01-01,95,"FEVER (Feat. 수퍼비, BIBI)",박진영
2020-01-01,96,춤 (Groove),EXO
2020-01-01,97,노래방에서,장범준
2020-01-01,98,떨어지는 낙엽까지도,헤이즈 (Heize)
2020-01-01,99,이루리,우주소녀
2020-01-01,100,지킬 (Jekyll),EXO
2020-01-02,1,METEOR,창모 (CHANGMO)
2020-01-02,2,Psycho,Red Velvet (레드벨벳)
2020-01-02,3,"아마두 (feat.우원재, 김효은, 넉살, Huckleberry P)","The Quiett, 팔로알토 (Paloalto), 염따, 딥플로우, 사이먼 도미닉"
2020-01-02,4,Blueming,아이유
2020-01-02,5,늦은 밤 너의 집 앞 골목길에서,노을
2020-01-02,6,Square (2017),백예린 (Yerin Baek)
2020-01-02,7,"다시는 사랑하지 않고, 이별에 아파하기 싫어",백지영
2020-01-02,8,HIP,마마무 (Mamamoo)
2020-01-02,9,Love poem,아이유
2020-01-02,10,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤)
2020-01-02,11,나의 오랜 연인에게,다비치
2020-01-02,12,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,장범준
2020-01-02,13,"Into the Unknown (From ""Frozen 2""/Soundtrack Version)","Idina Menzel, AURORA"
2020-01-02,14,헤어진 우리가 지켜야 할 것들,"양다일, 김나영"
2020-01-02,15,조금 취했어 (Prod. 2soo),임재현
2020-01-02,16,오늘도 빛나는 너에게 (To You My Light) (Feat.이라온),마크툽 (MAKTUB)
2020-01-02,17,십이월 이십오일의 고백,정승환
2020-01-02,18,안녕,폴킴
2020-01-02,19,사랑이란 멜로는 없어,전상근
2020-01-02,20,이 번호로 전화해줘,바이브
2020-01-02,21,새 사랑,송하예
2020-01-02,22,빌었어,창모 (CHANGMO)
2020-01-02,23,"인기 (Feat. 송가인, 챈슬러)",MC몽
2020-01-02,24,있어줘요,장덕철
2020-01-02,25,첫 겨울이니까,"성시경, 아이유"
2020-01-02,26,작은 것들을 위한 시 (Boy With Luv) (Feat. Halsey),방탄소년단
2020-01-02,27,2002,Anne-Marie
2020-01-02,28,시든 꽃에 물을 주듯,HYNN (박혜원)
2020-01-02,29,포장마차,황인욱
2020-01-02,30,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴
2020-01-02,31,니 소식,송하예
2020-01-02,32,이별주,황인욱
