Date,Rank,Title,Artist,Score
2018-10-29,5,하루도 그대를 사랑하지 않은 적이 없었다,임창정,10
2018-10-29,6,멋지게 인사하는 법 (Feat. 슬기 of Red Velvet),Zion.T,10
2018-10-29,7,Good Day (Feat. 팔로알토) (Prod. 코드 쿤스트),"키드밀리 (Kid Milli), pH-1, 루피 (Loopy)",10
2018-10-29,8,시간이 들겠지 (Feat. Colde),로꼬,10
2018-10-29,9,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,10
2018-10-29,10,잘 지내줘,하이라이트 (Highlight),10
2018-10-29,11,Way Back Home,숀 (SHAUN),9
2018-10-29,12,우리 그만하자,로이킴,9
2018-10-29,13,Save (Feat. 팔로알토)(Prod. 코드 쿤스트),루피 (Loopy),9
2018-10-29,14,헤어지는 중,펀치 (Punch),9
2018-10-29,15,이별길 (GOODBYE ROAD),iKON,9
2018-10-29,16,열애중,벤,9
2018-10-29,17,사이렌 (Siren),선미,9
2018-10-29,18,내 생에 아름다운,케이윌,9
2018-10-29,19,IDOL,방탄소년단,9
2018-10-29,20,사임사임 (Feat. CHANGMO),"수퍼비 (SUPERBEE), 쿠기 (Coogie), D.Ark (디아크)",9
2018-10-29,21,IndiGO,"저스디스 (JUSTHIS), 키드밀리 (Kid Milli), 양홍원, NO:EL",8
2018-10-29,22,flex (Prod. By 기리보이),"스윙스, 기리보이, 키드밀리 (Kid Milli), NO:EL",8
2018-10-29,23,라비앙로즈 (La Vie en Rose),IZ*ONE (아이즈원),8
2018-10-29,24,이별하러 가는 길,임한별,8
2018-10-29,25,뚜두뚜두 (DDU-DU DDU-DU),BLACKPINK,8
2018-10-29,26,미안해,양다일,8
2018-10-29,27,지나오다,닐로(Nilo),8
2018-10-29,28,꿈처럼 내린,다비치,8
2018-10-29,29,FAKE LOVE,방탄소년단,8
2018-10-29,30,Dance The Night Away,TWICE (트와이스),8
2018-10-29,31,밤편지,아이유,7
2018-10-29,32,Change (Feat. GRAY) (Prod. 코드 쿤스트),키드밀리 (Kid Milli),7
2018-10-29,33,억 (Feat. CHANGMO) (Prod. CHANGMO),수퍼비 (SUPERBEE),7
2018-10-29,34,비,폴킴,7
2018-10-29,35,I'm Fine,방탄소년단,7
2018-10-29,36,가을 안부,먼데이 키즈 (Monday Kiz),7
2018-10-29,37,여행,볼빨간사춘기,7
2018-10-29,38,Power Up,Red Velvet (레드벨벳),7
2018-10-29,39,벚꽃연가,첸 (CHEN),7
2018-10-29,40,Friend,비투비,7
2018-10-29,41,Hate You (Feat. 우원재) (Prod. 코드 쿤스트),pH-1,6
2018-10-29,42,그때 헤어지면 돼,로이킴,6
2018-10-29,43,동화,멜로망스,6
2018-10-29,44,너나 해 (Egotistic),마마무 (Mamamoo),6
2018-10-29,45,봄날,방탄소년단,6
2018-10-29,46,"셋 셀테니 (1, 2, 3!)",승리,6
2018-10-29,47,사랑을 했다 (LOVE SCENARIO),iKON,6
2018-10-29,48,그날처럼,장덕철,6
2018-10-29,49,너 없인 안 된다,비투비,6
2018-10-29,50,Euphoria,방탄소년단,6
2018-10-29,51,Forever Young,BLACKPINK,5
2018-10-29,52,1도 없어,Apink (에이핑크),5
2018-10-29,53,SoulMate (Feat. 아이유),지코 (ZICO),5
2018-10-29,54,선물,멜로망스,5
2018-10-29,55,119 (Feat. GRAY),"수퍼비 (SUPERBEE), 나플라 (nafla), 키드밀리 (Kid Milli), pH-1, 루피 (Loopy), OLNL (오르내림)",5
2018-10-29,56,주지마,"로꼬, 화사 (Hwa Sa)",5
2018-10-29,57,DNA,방탄소년단,5
2018-10-29,58,전하지 못한 진심 (Feat. Steve Aoki),방탄소년단,5
2018-10-29,59,넋두리,닐로(Nilo),5
2018-10-29,60,You,멜로망스,5
2018-10-29,61,그리워하다,비투비,4
2018-10-29,62,한(一),(여자)아이들,4
2018-10-29,63,매트리스,10CM,4
2018-10-29,64,HandClap,Fitz & The Tantrums,4
2018-10-29,65,좋은 날,멜로망스,4
2018-10-29,66,Answer : Love Myself,방탄소년단,4
2018-10-29,67,My Way,이수 (엠씨더맥스),4
2018-10-29,68,이별의 온도,린,4
2018-10-29,69,너에게,김민석 (멜로망스),4
2018-10-29,70,나,박원,4
2018-10-29,71,물어 (Prod. 기리보이),나플라 (nafla),3
2018-10-29,72,죽겠다 (KILLING ME),iKON,3
2018-10-29,73,잘 지내요,정승환,3
2018-10-29,74,Shape of You,Ed Sheeran,3
2018-10-29,75,YOUNG,"백현 (BAEKHYUN), 로꼬",3
2018-10-29,76,GOD GOD GOD,EK,3
2018-10-29,77,Havana (Feat. Young Thug),Camila Cabello,3
2018-10-29,78,도망가지마,모트 (Motte),3
2018-10-29,79,Universe,EXO,3
2018-10-29,80,Epiphany,방탄소년단,3
2018-10-29,81,Make Up (Feat. Crush),샘김 (Sam Kim),2
2018-10-29,82,Not A Love,바이브,2
2018-10-29,83,Perfect,10CM,2
2018-10-29,84,Anpanman,방탄소년단,2
2018-10-29,85,넌 (none),Crush,2
2018-10-29,86,Chandelier,Sia,2
2018-10-29,87,Trivia 轉 : Seesaw,방탄소년단,2
2018-10-29,88,밤 (Time for the moon night),여자친구 (GFRIEND),2
2018-10-29,89,별이 빛나는 밤,마마무 (Mamamoo),2
2018-10-29,90,"브레이킹배드 (Feat. 기리보이) (Prod. Cosmic Boy, 기리보이)",OLNL (오르내림),2
2018-10-29,91,에너제틱 (Energetic),Wanna One (워너원),1
2018-10-29,92,Waste It On Me (feat. BTS (방탄소년단)),Steve Aoki,1
2018-10-29,93,Trivia 起 : Just Dance,방탄소년단,1
2018-10-29,94,Love U,청하,1
2018-10-29,95,Beautiful,Wanna One (워너원),1
2018-10-29,96,Airplane pt.2,방탄소년단,1
2018-10-29,97,소나기 (Feat. 10cm),용준형,1
2018-10-29,98,뿜뿜,모모랜드 (MOMOLAND),1
2018-10-29,99,Trivia 承 : Love,방탄소년단,1
2018-10-29,100,켜줘 (Light),Wanna One (워너원),1
2018-10-30,1,너를 만나,폴킴,10
2018-10-30,2,삐삐,아이유,10
2018-10-30,3,가을 타나 봐,바이브,10
2018-10-30,4,고백,양다일,10
2018-10-30,5,하루도 그대를 사랑하지 않은 적이 없었다,임창정,10
2018-10-30,6,멋지게 인사하는 법 (Feat. 슬기 of Red Velvet),Zion.T,10
2018-10-30,7,Good Day (Feat. 팔로알토) (Prod. 코드 쿤스트),"키드밀리 (Kid Milli), pH-1, 루피 (Loopy)",10
2018-10-30,8,시간이 들겠지 (Feat. Colde),로꼬,10
2018-10-30,9,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,10
2018-10-30,10,Way Back Home,숀 (SHAUN),10
2018-10-30,11,우리 그만하자,로이킴,9
2018-10-30,12,Save (Feat. 팔로알토)(Prod. 코드 쿤스트),루피 (Loopy),9
2018-10-30,13,헤어지는 중,펀치 (Punch),9
2018-10-30,14,이별길 (GOODBYE ROAD),iKON,9
2018-10-30,15,내 생에 아름다운,케이윌,9
2018-10-30,16,열애중,벤,9
2018-10-30,17,사이렌 (Siren),선미,9
2018-10-30,18,잘 지내줘,하이라이트 (Highlight),9
2018-10-30,19,IDOL,방탄소년단,9
2018-10-30,20,왈 (Feat. Pharoahe Monch),사이먼 도미닉,9
2018-10-30,21,사임사임 (Feat. CHANGMO),"수퍼비 (SUPERBEE), 쿠기 (Coogie), D.Ark (디아크)",8
2018-10-30,22,IndiGO,"저스디스 (JUSTHIS), 키드밀리 (Kid Milli), 양홍원, NO:EL",8
2018-10-30,23,flex (Prod. By 기리보이),"스윙스, 기리보이, 키드밀리 (Kid Milli), NO:EL",8
2018-10-30,24,이별하러 가는 길,임한별,8
2018-10-30,25,뚜두뚜두 (DDU-DU DDU-DU),BLACKPINK,8
2018-10-30,26,미안해,양다일,8
2018-10-30,27,꿈처럼 내린,다비치,8
2018-10-30,28,지나오다,닐로(Nilo),8
2018-10-30,29,라비앙로즈 (La Vie en Rose),IZ*ONE (아이즈원),8
2018-10-30,30,FAKE LOVE,방탄소년단,8
2018-10-30,31,비,폴킴,7
2018-10-30,32,Dance The Night Away,TWICE (트와이스),7
2018-10-30,33,밤편지,아이유,7
2018-10-30,34,I'm Fine,방탄소년단,7
