Date,Rank,Title,Artist,Score
2021-01-01,1,VVS (Feat. JUSTHIS) (Prod. GroovyRoom),"Khundi Panda, 머쉬베놈 (MUSHVENOM), 먼치맨(MUNCHMAN), 미란이 (MIRANI)",10
2021-01-01,2,밤하늘의 별을(2020),경서,10
2021-01-01,3,Dynamite,방탄소년단,10
2021-01-01,4,잠이 오질 않네요,장범준,10
2021-01-01,5,"내일이 오면 (Feat. 기리보이, BIG Naughty (서동현))",릴보이 (lIlBOI),10
2021-01-01,6,힘든 건 사랑이 아니다,임창정,10
2021-01-01,7,취기를 빌려 (취향저격 그녀 X 산들),산들,10
2021-01-01,8,Lovesick Girls,BLACKPINK,10
2021-01-01,9,Life Goes On,방탄소년단,10
2021-01-01,10,"CREDIT (Feat. 염따, 기리보이, Zion.T)",릴보이 (lIlBOI),10
2021-01-01,11,오래된 노래,스탠딩 에그,9
2021-01-01,12,Savage Love (Laxed - Siren Beat) (BTS Remix),"Jason Derulo, 방탄소년단, Jawsh 685",9
2021-01-01,13,"Achoo (Feat. pH-1, HAON) (Prod. GroovyRoom)",미란이 (MIRANI),9
2021-01-01,14,내 마음이 움찔했던 순간 (취향저격 그녀 X 규현),규현 (KYUHYUN),9
2021-01-01,15,"ON AIR (Feat. 로꼬, 박재범 & GRAY)",릴보이 (lIlBOI),9
2021-01-01,16,Freak (Prod. Slom),"릴보이 (lIlBOI), 원슈타인, Chillin Homie, 스카이민혁 (Skyminhyuk)",9
2021-01-01,17,나랑 같이 걸을래 (바른연애 길잡이 X 적재),적재,9
2021-01-01,18,에잇(Prod.&Feat. SUGA of BTS),아이유,9
2021-01-01,19,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤),9
2021-01-01,20,When We Disco (Duet with 선미),박진영,9
2021-01-01,21,뿌리 (Feat. JUSTHIS) (Prod. GroovyRoom),Khundi Panda,8
2021-01-01,22,혼술하고 싶은 밤,벤,8
2021-01-01,23,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,장범준,8
2021-01-01,24,늦은 밤 너의 집 앞 골목길에서,노을,8
2021-01-01,25,악역 (Feat. 이하이 & 사이먼 도미닉) (Prod. 코드 쿤스트),스윙스,8
2021-01-01,26,어떻게 지내 (Prod. By VAN.C),오반,8
2021-01-01,27,딩가딩가 (Dingga),마마무 (Mamamoo),8
2021-01-01,28,All I Want for Christmas Is You,Mariah Carey,8
2021-01-01,29,How You Like That,BLACKPINK,8
2021-01-01,30,아로하,조정석,8
2021-01-01,31,서면역에서,순순희,7
2021-01-01,32,METEOR,창모 (CHANGMO),7
2021-01-01,33,Dolphin,오마이걸 (OH MY GIRL),7
2021-01-01,34,DON'T TOUCH ME,환불원정대,7
2021-01-01,35,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,7
2021-01-01,36,Blueming,아이유,7
2021-01-01,37,Santa Tell Me,Ariana Grande,7
2021-01-01,38,사실 나는 (Feat.전건호),경서예지,7
2021-01-01,39,Snowman,Sia,7
2021-01-01,40,작은 것들을 위한 시 (Boy With Luv) (Feat. Halsey),방탄소년단,7
2021-01-01,41,고독하구만 (Feat. 수퍼비) (Prod. GroovyRoom),머쉬베놈 (MUSHVENOM),6
2021-01-01,42,I CAN’T STOP ME,TWICE (트와이스),6
2021-01-01,43,시작,가호 (Gaho),6
2021-01-01,44,거짓말이라도 해서 널 보고싶어,백지영,6
2021-01-01,45,오늘도 빛나는 너에게 (To You My Light) (Feat.이라온),마크툽 (MAKTUB),6
2021-01-01,46,마음을 드려요,아이유,6
2021-01-01,47,마리아 (Maria),화사 (Hwa Sa),6
2021-01-01,48,Memories,Maroon 5,6
2021-01-01,49,뻔한남자,이승기,6
2021-01-01,50,미리 메리 크리스마스 (Feat. 천둥 Of MBLAQ),아이유,6
2021-01-01,51,사랑은 지날수록 더욱 선명하게 남아,전상근,5
2021-01-01,52,눈누난나 (NUNU NANA),제시 (Jessi),5
2021-01-01,53,"여백의 미 (Feat. Jessi, JUSTHIS) (Prod. GroovyRoom)",머쉬베놈 (MUSHVENOM),5
2021-01-01,54,홀로,이하이,5
2021-01-01,55,그날에 나는 맘이 편했을까,이예준,5
2021-01-01,56,봄날,방탄소년단,5
2021-01-01,57,우리 왜 헤어져야 해,신예영,5
2021-01-01,58,가을밤에 든 생각,잔나비,5
2021-01-01,59,What Do I Call You,태연 (TAEYEON),5
2021-01-01,60,한잔이면 지워질까,황인욱,5
2021-01-01,61,Dance Monkey,Tones And I,4
2021-01-01,62,살짝 설렜어 (Nonstop),오마이걸 (OH MY GIRL),4
2021-01-01,63,Downtown Baby,블루 (BLOO),4
2021-01-01,64,소확행,임창정,4
2021-01-01,65,2002,Anne-Marie,4
2021-01-01,66,"사랑 못해, 남들 쉽게 다 하는 거",먼데이 키즈 (Monday Kiz),4
2021-01-01,67,나로 바꾸자 (duet with JYP),비,4
2021-01-01,68,Panorama,IZ*ONE (아이즈원),4
2021-01-01,69,잘할게,이승기,4
2021-01-01,70,이제 나만 믿어요,임영웅,4
2021-01-01,71,안녕,폴킴,3
2021-01-01,72,"가다 (Feat. 사이먼 도미닉, The Quiett) (Prod. SLO)",머쉬베놈 (MUSHVENOM),3
2021-01-01,73,너를 만나,폴킴,3
2021-01-01,74,적외선 카메라,원슈타인,3
2021-01-01,75,너의 번호를 누르고 (Prod. 영화처럼),#안녕,3
2021-01-01,76,행복해,송하예,3
2021-01-01,77,처음처럼,엠씨더맥스 (M.C the MAX),3
2021-01-01,78,우린 어쩌다 헤어진 걸까,허각,3
2021-01-01,79,별을 담은 시 (Ode To The Stars),"마크툽 (MAKTUB), 이라온",3
2021-01-01,80,사랑하게 될 줄 알았어,전미도,3
2021-01-01,81,Love poem,아이유,2
2021-01-01,82,크리스마스니까,"박효신, 성시경, 이석훈, 서인국, VIXX (빅스)",2
2021-01-01,83,원해 (Feat. 팔로알토) (Prod. 코드 쿤스트),"스윙스, 맥대디 (Mckdaddy), 래원 (Layone), Khakii (카키)",2
2021-01-01,84,Don't Start Now,Dua Lipa,2
2021-01-01,85,For You (Feat. Crush),이하이,2
2021-01-01,86,다시 여기 바닷가,"싹쓰리 (유두래곤, 린다G, 비룡)",2
2021-01-01,87,아무노래,지코 (ZICO),2
2021-01-01,88,Bad Boy,"Christopher, 청하",2
2021-01-01,89,너도 아는,폴킴,2
2021-01-01,90,12:45 (Stripped),Etham,2
2021-01-01,91,놓아줘 (with 태연),Crush,1
2021-01-01,92,Maniac,Conan Gray,1
2021-01-01,93,이루리,우주소녀,1
2021-01-01,94,ON,방탄소년단,1
2021-01-01,95,Black Mamba,aespa,1
2021-01-01,96,Paris in the Rain,Lauv,1
2021-01-01,97,요즘,양다일,1
2021-01-01,98,부어라 비워라 (Tricker) (Prod. GroovyRoom),머쉬베놈 (MUSHVENOM),1
2021-01-01,99,Blue & Grey,방탄소년단,1
2021-01-01,100,내 방을 여행하는 법,방탄소년단,1
2021-01-02,1,VVS (Feat. JUSTHIS) (Prod. GroovyRoom),"Khundi Panda, 머쉬베놈 (MUSHVENOM), 먼치맨(MUNCHMAN), 미란이 (MIRANI)",10
2021-01-02,2,밤하늘의 별을(2020),경서,10
2021-01-02,3,Dynamite,방탄소년단,10
2021-01-02,4,잠이 오질 않네요,장범준,10
