Date,Rank,Title,Artist,Score
2022-01-01,1,Counting Stars (Feat. Beenzino),BE'O (비오),10
2022-01-01,2,"회전목마 (Feat. Zion.T, 원슈타인) (Prod. Slom)",sokodomo,10
2022-01-01,3,리무진 (Feat. MINO) (Prod. GRAY),BE'O (비오),10
2022-01-01,4,겨울잠,아이유,10
2022-01-01,5,ELEVEN,IVE (아이브),10
2022-01-01,6,사랑은 늘 도망가,임영웅,10
2022-01-01,7,만남은 쉽고 이별은 어려워 (Feat. Leellamarz) (Prod. TOIL),베이식 (Basick),10
2022-01-01,8,취중고백,김민석 (멜로망스),10
2022-01-01,9,눈이 오잖아(Feat.헤이즈),이무진,10
2022-01-01,10,불협화음 (Feat. AKMU) (Prod. GRAY),Mudd the student,10
2022-01-01,11,드라마,아이유,9
2022-01-01,12,strawberry moon,아이유,9
2022-01-01,13,다정히 내 이름을 부르면,"전건호, 경서예지",9
2022-01-01,14,신호등,이무진,9
2022-01-01,15,Savage,aespa,9
2022-01-01,16,STAY,"Justin Bieber, The Kid LAROI",9
2022-01-01,17,Dreams Come True,aespa,9
2022-01-01,18,네가 없는 밤 (Feat. ASH ISLAND) (Prod. GRAY),BE'O (비오),9
2022-01-01,19,정거장,아이유,9
2022-01-01,20,쉬어 (Feat. MINO) (Prod. GRAY),"지구인, unofficialboyy, 아넌딜라이트(Anandelight), Mudd the student, BE'O (비오)",9
2022-01-01,21,Next Level,aespa,8
2022-01-01,22,Wake Up (Prod. 코드 쿤스트),"개코, Tabber, SINCE, 아우릴고트 (OUREALGOAT), 안병웅, 조광일",8
2022-01-01,23,너를 생각해,주시크 (Joosiq),8
2022-01-01,24,흰눈,먼데이 키즈 (Monday Kiz),8
2022-01-01,25,OHAYO MY NIGHT,"디핵 (D-Hack), PATEKO (파테코)",8
2022-01-01,26,러브레터,아이유,8
2022-01-01,27,너,아이유,8
2022-01-01,28,문득,BE'O (비오),8
2022-01-01,29,낙하 (with 아이유),AKMU (악뮤),8
2022-01-01,30,바라만 본다,MSG워너비(M.O.M),8
2022-01-01,31,Butter,방탄소년단,7
2022-01-01,32,Celebrity,아이유,7
2022-01-01,33,Permission to Dance,방탄소년단,7
2022-01-01,34,My Universe,"Coldplay, 방탄소년단",7
2022-01-01,35,매일 크리스마스 (Everyday Christmas),다비치,7
2022-01-01,36,Dynamite,방탄소년단,7
2022-01-01,37,헤픈 우연,헤이즈 (Heize),7
2022-01-01,38,MBTI (Feat. 쿠기 & 로꼬) (Prod. GRAY),BE'O (비오),7
2022-01-01,39,Still I Love You,토요태,7
2022-01-01,40,이제 나만 믿어요,임영웅,7
2022-01-01,41,Weekend,태연 (TAEYEON),6
2022-01-01,42,라일락,아이유,6
2022-01-01,43,밤하늘의 별을(2020),경서,6
2022-01-01,44,그게 더 편할 것 같아 (N번째 연애 X 멜로망스),멜로망스,6
2022-01-01,45,Christmas Tree,V,6
2022-01-01,46,고백,멜로망스,6
2022-01-01,47,Bad Habits,Ed Sheeran,6
2022-01-01,48,"사이렌 Remix (Feat. UNEDUCATED KID, Paul Blanco)",호미들,6
2022-01-01,49,찰나가 영원이 될 때 (The Eternal Moment),마크툽 (MAKTUB),6
2022-01-01,50,Snowman,Sia,6
2022-01-01,51,안녕 우린 헤어져야만 해,"전상근, 신예영",5
2022-01-01,52,Santa Tell Me,Ariana Grande,5
2022-01-01,53,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤),5
2022-01-01,54,All I Want for Christmas Is You,Mariah Carey,5
2022-01-01,55,롤린 (Rollin'),브레이브걸스,5
2022-01-01,56,추억은 만남보다 이별에 남아,정동하,5
2022-01-01,57,밝게 빛나는 별이 되어 비춰줄게,송이한,5
2022-01-01,58,내 손을 잡아,아이유,5
2022-01-01,59,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,5
2022-01-01,60,시간을 거슬러 (낮에 뜨는 달 X 케이윌),케이윌,5
2022-01-01,61,"호우주의 (Feat. 개코, 넉살 (Nucksal)) (Prod. 코드 쿤스트)",조광일,4
2022-01-01,62,우리가 헤어져야 했던 이유,비비 (BIBI),4
2022-01-01,63,Dun Dun Dance,오마이걸 (OH MY GIRL),4
2022-01-01,64,미리 메리 크리스마스 (Feat. 천둥 Of MBLAQ),아이유,4
2022-01-01,65,좋아좋아,조정석,4
2022-01-01,66,"깐부 (Feat. 염따, ASH ISLAND) (Prod. TOIL)",KOONTA (쿤타),4
2022-01-01,67,그대라는 사치,임영웅,4
2022-01-01,68,Blueming,아이유,4
2022-01-01,69,이루리,우주소녀,4
2022-01-01,70,오늘도 빛나는 너에게 (To You My Light) (Feat.이라온),마크툽 (MAKTUB),4
2022-01-01,71,탕!♡,MINO (송민호),3
2022-01-01,72,다시 사랑한다면 (김필 Ver.),임영웅,3
2022-01-01,73,Off My Face,Justin Bieber,3
2022-01-01,74,멜로디,ASH ISLAND,3
2022-01-01,75,죽을 만큼 아파서 (Feat. JAMIE (제이미)),MC몽,3
2022-01-01,76,비가 오는 날엔 (2021),헤이즈 (Heize),3
2022-01-01,77,DUMB DUMB,전소미,3
2022-01-01,78,너의 모든 순간,성시경,3
2022-01-01,79,너와 나의 Memories,"염따, 베이식 (Basick), KOONTA (쿤타), TOIL, 365LIT, 황지상 (HWANG JI SANG), 송민영",3
2022-01-01,80,이별후회,김나영,3
2022-01-01,81,Queendom,Red Velvet (레드벨벳),2
2022-01-01,82,잊었니,임영웅,2
2022-01-01,83,비와 당신,이무진,2
2022-01-01,84,크리스마스니까,"박효신, 성시경, 이석훈, 서인국, VIXX (빅스)",2
2022-01-01,85,취기를 빌려 (취향저격 그녀 X 산들),산들,2
2022-01-01,86,서랍,10CM,2
2022-01-01,87,Peaches (Feat. Daniel Caesar & Giveon),Justin Bieber,2
2022-01-01,88,봄날,방탄소년단,2
2022-01-01,89,나 그댈위해 시 한편을 쓰겠어,케이시 (Kassy),2
2022-01-01,90,그날에 나는 맘이 편했을까,이예준,2
2022-01-01,91,별빛 같은 나의 사랑아,임영웅,1
2022-01-01,92,작은 것들을 위한 시 (Boy With Luv) (Feat. Halsey),방탄소년단,1
2022-01-01,93,밤새 서로 미루다,"존박, 전미도",1
2022-01-01,94,ASAP,STAYC(스테이씨),1
2022-01-01,95,HERO,임영웅,1
2022-01-01,96,Savage Love (Laxed - Siren Beat) (BTS Remix),"Jason Derulo, 방탄소년단, Jawsh 685",1
2022-01-01,97,끝사랑,임영웅,1
2022-01-01,98,Life Goes On,방탄소년단,1
2022-01-01,99,에잇(Prod.&Feat. SUGA of BTS),아이유,1
2022-01-01,100,다음생이 있다면 당신을 만나서 다시 사랑할래요,임재현,1
2022-01-02,1,Counting Stars (Feat. Beenzino),BE'O (비오),10
2022-01-02,2,"회전목마 (Feat. Zion.T, 원슈타인) (Prod. Slom)",sokodomo,10
